id,label
766723500,2
739273600,4
156621880,1
156551275,1
793980800,1
169711900,1
199868467,1
589572100,3
224843800,2
211596630,1
478375699,1
157732733,1
191626000,1
733521000,4
346084800,2
156114825,4
157696781,1
284939400,1
651357200,1
145652100,1
586902000,1
808543700,4
502550200,1
791749200,2
485261000,4
245902800,4
217787088,3
166044200,1
179526624,1
143152217,3
285008148,1
258798451,1
824998500,2
273215200,2
491391200,1
279829100,2
248786921,1
199855258,1
156583865,1
172328996,2
853154999,1
595410800,1
149455044,1
409983499,4
209417803,1
325610200,2
199873754,1
331449162,1
158129761,1
201005896,1
534513500,1
158150126,1
165114956,1
704249700,1
219767800,2
156585313,2
227643039,2
887083200,2
836052600,1
195319427,1
163058353,4
433745800,3
319618200,1
158154506,4
179230661,2
285516579,1
136825754,1
163058266,1
157776065,1
158132644,1
211596686,2
209423387,1
833297700,2
491761900,1
188226200,1
313833600,2
402475500,1
900251400,4
143750634,2
351071800,2
155342273,1
179230707,1
238133693,1
157777729,1
199854995,4
156611349,2
855625100,1
199841844,3
217787885,1
165103100,3
158277235,1
257611400,1
157785401,3
158040318,2
904873199,1
759562800,2
154807637,1
523162699,1
632364300,1
316583636,1
132246917,1
154748280,2
774091900,1
179604907,1
374128600,4
428577199,1
156532425,1
285239597,1
377948800,4
907091100,2
158038444,1
698398700,1
847097300,3
139185984,2
183542100,1
261562599,1
199853828,1
215836136,1
581684700,3
211591126,1
199878288,2
199850019,1
194876241,1
162113600,1
157627515,1
238152612,4
319511400,2
862423500,4
158157601,1
495580200,2
156550034,2
165115027,1
753265300,1
157951430,4
211588631,1
270975100,1
177847337,1
145324628,4
271490700,1
227288500,4
192306131,1
264831900,1
179230681,1
249705800,1
316583831,1
702381700,1
200996499,4
211604136,1
158826238,4
237778300,2
329817000,1
807246200,1
141352767,2
898602000,1
325081400,1
244214727,1
158287793,4
158134238,1
285007756,1
211602540,2
304022600,4
182961700,2
158115535,4
521261500,4
242385689,1
199577200,2
257093300,2
155350478,1
228311900,2
411754000,1
543412300,3
158150201,3
380036100,1
179431479,2
179229704,1
165112479,1
211581542,2
241568400,2
285516573,1
163693755,1
158150848,1
503031900,3
156710022,4
179597856,1
154767467,2
211588317,4
163058226,4
820572800,2
258813206,1
699478000,1
241360800,2
134521122,3
157696514,2
414862600,2
158117111,1
351749100,1
179603891,4
158140309,2
156608467,1
157601459,1
331446560,2
179575770,1
156552696,1
179597862,1
294136093,2
791226500,2
319430200,1
154749491,1
165106687,1
249487200,2
165110702,1
385860400,1
157793133,1
155342309,1
199876788,1
288112000,2
847479900,2
341841500,4
179225823,1
656317300,2
495144499,3
439071200,3
268475700,4
675679600,3
154749552,1
157738811,3
157739140,1
258969470,2
242385700,1
158826269,2
154767905,2
199855706,1
199853938,1
158106292,1
156531472,4
155900034,1
199852887,1
158117908,2
315266300,2
217786448,1
200131200,1
722501400,1
733732800,1
202469081,1
157605513,1
264316800,2
158160392,1
