id,label
766723500,4
739273600,2
156621880,1
156551275,1
793980800,2
169711900,1
199868467,1
589572100,1
224843800,2
211596630,1
478375699,3
157732733,3
191626000,2
733521000,4
346084800,2
156114825,4
157696781,1
284939400,2
651357200,2
145652100,2
586902000,1
808543700,3
502550200,3
791749200,1
485261000,3
245902800,2
217787088,2
166044200,3
179526624,1
143152217,1
285008148,1
258798451,2
824998500,1
273215200,2
491391200,3
279829100,2
248786921,1
199855258,1
156583865,1
172328996,4
853154999,2
595410800,3
149455044,1
409983499,2
209417803,1
325610200,2
199873754,1
331449162,2
158129761,1
201005896,4
534513500,3
158150126,1
165114956,1
704249700,4
219767800,1
156585313,3
227643039,2
887083200,3
836052600,2
195319427,1
163058353,3
433745800,3
319618200,2
158154506,1
179230661,2
285516579,1
136825754,2
163058266,1
157776065,1
158132644,1
211596686,1
209423387,1
833297700,2
491761900,3
188226200,2
313833600,4
402475500,3
900251400,2
143750634,2
351071800,1
155342273,1
179230707,1
238133693,2
157777729,3
199854995,1
156611349,4
855625100,2
199841844,2
217787885,2
165103100,3
158277235,1
257611400,2
157785401,4
158040318,4
904873199,2
759562800,3
154807637,1
523162699,2
632364300,1
316583636,4
132246917,2
154748280,4
774091900,4
179604907,1
374128600,1
428577199,1
156532425,1
285239597,1
377948800,1
907091100,2
158038444,1
698398700,4
847097300,4
139185984,1
183542100,2
261562599,4
199853828,1
215836136,1
581684700,1
211591126,3
199878288,2
199850019,4
194876241,4
162113600,4
157627515,1
238152612,1
319511400,2
862423500,1
158157601,1
495580200,3
156550034,4
165115027,1
753265300,1
157951430,2
211588631,1
270975100,4
177847337,3
145324628,4
271490700,2
227288500,2
192306131,1
264831900,2
179230681,1
249705800,2
316583831,1
702381700,1
200996499,2
211604136,4
158826238,1
237778300,2
329817000,1
807246200,2
141352767,2
898602000,1
325081400,4
244214727,4
158287793,1
158134238,3
285007756,1
211602540,1
304022600,4
182961700,2
158115535,1
521261500,4
242385689,1
199577200,2
257093300,2
155350478,1
228311900,2
411754000,4
543412300,2
158150201,3
380036100,1
179431479,1
179229704,2
165112479,1
211581542,1
241568400,2
285516573,1
163693755,2
158150848,1
503031900,2
156710022,1
179597856,4
154767467,1
211588317,4
163058226,1
820572800,4
258813206,1
699478000,3
241360800,4
134521122,3
157696514,4
414862600,3
158117111,3
351749100,3
179603891,4
158140309,1
156608467,1
157601459,3
331446560,4
179575770,1
156552696,1
179597862,1
294136093,1
791226500,2
319430200,2
154749491,1
165106687,3
249487200,4
165110702,1
385860400,1
157793133,1
155342309,1
199876788,1
288112000,2
847479900,1
341841500,4
179225823,4
656317300,4
495144499,1
439071200,4
268475700,3
675679600,3
154749552,3
157738811,3
157739140,1
258969470,1
242385700,2
158826269,1
154767905,1
199855706,1
199853938,1
158106292,4
156531472,1
155900034,1
199852887,1
158117908,4
315266300,2
217786448,1
200131200,2
722501400,1
733732800,2
202469081,4
157605513,1
264316800,2
158160392,4
172329459,4
200331205,2
204481600,1
741340600,1
805207900,4
876690600,1
209429650,2
157783414,1
392599400,3
155349192,1
285008832,1
747834300,2
741730400,4
554583800,4
211607250,1
285461010,1
458992000,4
459287500,4
319085800,2
761036600,4
311280800,2
258380793,1
145359603,1
757056600,4
731872700,1
423041200,4
585202100,3
147691118,2
777893700,1
156401946,1
158286719,1
242385499,1
158140740,2
156588710,4
229337800,2
156608586,1
559863300,3
305909600,2
156115672,2
211596621,4
851337000,3
211585421,4
494327800,3
621869500,3
331449112,4
145363890,1
165112003,1
159385770,1
179604981,1
613827400,3
754402700,3
904035500,2
331604716,1
848641499,1
157739059,3
211597170,1
323969600,2
157625994,1
193428900,2
331449179,2
147909649,3
898753000,1
735626100,3
158145327,1
136824987,1
179225700,1
211604589,4
199853904,1
134953152,2
803597100,2
200190183,1
156103818,1
688079400,3
157788279,1
211596369,1
839471099,2
610744900,3
157789793,4
145068534,1
294142869,4
304640300,1
453930200,2
184242100,2
154814649,1
204422348,1
406727000,3
923638300,2
504758200,4
316644708,1
642251000,1
177208268,1
905845200,1
158040917,1
785294400,2
200187655,1
753649800,4
338030200,3
165119584,1
238152520,3
158826451,1
156111972,2
249803400,2
316644692,1
205537805,2
172329324,1
157789382,1
837743900,1
199844011,2
151503500,4
208830500,2
295543000,2
199854511,1
440231900,3
587646700,1
216937205,4
156552593,4
199843483,3
195319504,1
375705000,3
275227200,2
251480800,2
145366743,1
202481442,2
317667420,1
712741000,4
145070880,1
179230329,2
422701399,4
158109487,3
156400934,1
199843097,1
145069892,2
205538042,2
639193000,1
786740600,2
864662600,2
211590780,1
778297200,4
136818501,1
245042299,2
179571688,2
382716600,1
156629488,1
807703600,2
211597259,1
137531815,1
156609771,4
158147278,1
418148800,4
155342943,4
199853509,2
389486200,2
158116473,1
386791600,3
211604727,1
339906300,2
154748271,2
267709300,2
209423372,1
158118544,4
294864407,1
855533500,2
156552740,1
632018800,3
814325599,3
697063000,3
154748787,1
231994000,2
316644847,1
199853762,2
172329772,1
192306169,4
202483091,2
209414497,3
162461800,3
143144310,1
156711095,1
285239584,2
145371196,4
237921311,4
145061880,2
179401765,4
706692400,2
179228678,1
199852590,1
211313000,2
157949241,1
736873200,4
345341700,2
157784011,1
179571513,1
179575033,2
863825900,4
244214645,1
450297099,1
255372600,2
155491683,2
211588665,1
163058424,1
204794897,1
854607100,2
917931100,2
211597435,4
201003829,1
145365674,1
199841869,1
499712200,3
516872099,3
480497500,2
258175169,1
597899100,3
158273934,1
211591277,1
147695155,1
460712700,4
703145100,3
201288499,2
258974300,4
258813776,1
225284800,4
136818019,1
157945715,1
246089900,2
199841852,1
763742500,2
375273300,3
202480007,2
794637500,2
291453900,4
158151174,1
211584250,1
598035300,1
647945500,3
393127600,2
143158753,1
156584047,1
157604162,1
734505200,1
158132054,3
157697562,3
158162043,4
913647900,1
248202175,1
817314099,1
