id,label
766723500,4
739273600,1
156621880,1
156551275,1
793980800,4
169711900,1
199868467,1
589572100,1
224843800,2
211596630,1
478375699,2
157732733,1
191626000,2
733521000,1
346084800,1
156114825,1
157696781,2
284939400,2
651357200,1
145652100,1
586902000,1
808543700,2
502550200,2
791749200,2
485261000,2
245902800,2
217787088,2
166044200,1
179526624,1
143152217,3
285008148,1
258798451,1
824998500,2
273215200,2
491391200,3
279829100,2
248786921,1
199855258,1
156583865,1
172328996,2
853154999,1
595410800,1
149455044,1
409983499,2
209417803,1
325610200,2
199873754,1
331449162,1
158129761,1
201005896,1
534513500,1
158150126,1
165114956,1
704249700,2
219767800,2
156585313,2
227643039,2
887083200,2
836052600,1
195319427,1
163058353,2
433745800,3
319618200,1
158154506,1
179230661,1
285516579,1
136825754,2
163058266,1
157776065,1
158132644,1
211596686,2
209423387,1
833297700,2
491761900,1
188226200,1
313833600,2
402475500,3
900251400,4
143750634,2
351071800,3
155342273,1
179230707,1
238133693,2
157777729,2
199854995,1
156611349,2
855625100,1
199841844,3
217787885,3
165103100,1
158277235,1
257611400,4
157785401,3
158040318,2
904873199,1
759562800,2
154807637,1
523162699,1
632364300,1
316583636,3
132246917,1
154748280,2
774091900,2
179604907,1
374128600,1
428577199,1
156532425,1
285239597,2
377948800,1
907091100,1
158038444,1
698398700,1
847097300,2
139185984,2
183542100,1
261562599,4
199853828,1
215836136,1
581684700,1
211591126,1
199878288,2
199850019,1
194876241,1
162113600,1
157627515,1
238152612,1
319511400,2
862423500,2
158157601,2
495580200,2
156550034,2
165115027,1
753265300,1
157951430,1
211588631,1
270975100,1
177847337,2
145324628,1
271490700,2
227288500,2
192306131,1
264831900,1
179230681,1
249705800,2
316583831,1
702381700,1
200996499,2
211604136,2
158826238,3
237778300,2
329817000,1
807246200,1
141352767,2
898602000,4
325081400,2
244214727,1
158287793,2
158134238,3
285007756,1
211602540,3
304022600,2
182961700,2
158115535,1
521261500,1
242385689,1
199577200,2
257093300,2
155350478,1
228311900,2
411754000,1
543412300,3
158150201,1
380036100,2
179431479,2
179229704,1
165112479,1
211581542,2
241568400,2
285516573,1
163693755,2
158150848,2
503031900,3
156710022,4
179597856,1
154767467,2
211588317,2
163058226,1
820572800,2
258813206,1
699478000,4
241360800,2
134521122,3
157696514,1
414862600,2
158117111,1
351749100,1
179603891,2
158140309,2
156608467,1
157601459,3
331446560,2
179575770,1
156552696,1
179597862,1
294136093,2
791226500,2
319430200,1
154749491,1
165106687,1
249487200,2
165110702,1
385860400,3
157793133,1
155342309,1
199876788,1
288112000,2
847479900,2
341841500,3
179225823,1
656317300,2
495144499,2
439071200,3
268475700,2
675679600,2
154749552,1
157738811,1
157739140,1
258969470,2
242385700,1
158826269,2
154767905,2
199855706,1
199853938,1
158106292,2
156531472,1
155900034,1
199852887,1
158117908,2
315266300,2
217786448,1
200131200,1
722501400,1
733732800,4
202469081,1
157605513,1
264316800,1
158160392,1
172329459,4
200331205,2
204481600,2
741340600,2
805207900,1
876690600,1
209429650,1
157783414,1
392599400,1
155349192,1
285008832,1
747834300,1
741730400,1
554583800,1
211607250,3
285461010,4
458992000,1
459287500,1
319085800,2
761036600,2
311280800,1
258380793,1
145359603,1
757056600,2
731872700,1
423041200,1
585202100,2
147691118,1
777893700,2
156401946,1
158286719,1
242385499,2
158140740,1
156588710,1
229337800,2
156608586,1
559863300,2
305909600,2
156115672,2
211596621,2
851337000,2
211585421,1
494327800,3
621869500,1
331449112,2
145363890,1
165112003,1
159385770,2
179604981,1
613827400,1
754402700,3
904035500,1
331604716,1
848641499,1
157739059,1
211597170,1
323969600,2
157625994,1
193428900,2
331449179,1
147909649,2
898753000,2
735626100,1
158145327,1
136824987,2
179225700,1
211604589,1
199853904,2
134953152,4
803597100,1
200190183,1
156103818,4
688079400,3
157788279,1
211596369,1
839471099,1
610744900,3
157789793,2
145068534,1
294142869,2
304640300,3
453930200,4
184242100,2
154814649,1
204422348,2
406727000,1
923638300,1
504758200,2
316644708,2
642251000,1
177208268,1
905845200,1
158040917,1
785294400,1
200187655,1
753649800,1
338030200,1
165119584,2
238152520,2
158826451,1
156111972,1
249803400,2
316644692,2
205537805,4
172329324,1
157789382,1
837743900,2
199844011,1
151503500,2
208830500,1
295543000,2
199854511,3
440231900,2
587646700,2
216937205,1
156552593,2
199843483,1
195319504,1
375705000,1
275227200,1
251480800,2
145366743,1
202481442,2
317667420,1
712741000,2
145070880,4
179230329,2
422701399,2
158109487,1
156400934,1
199843097,1
145069892,2
205538042,2
639193000,1
786740600,1
864662600,3
211590780,2
778297200,1
136818501,1
245042299,2
179571688,1
382716600,1
156629488,1
807703600,1
211597259,2
137531815,1
156609771,1
158147278,1
418148800,3
155342943,4
199853509,2
389486200,2
158116473,1
386791600,2
211604727,1
339906300,2
154748271,2
267709300,3
209423372,1
158118544,2
294864407,1
855533500,2
156552740,1
632018800,1
814325599,3
697063000,2
154748787,2
231994000,4
316644847,1
199853762,2
172329772,1
192306169,1
202483091,1
209414497,2
162461800,1
143144310,1
156711095,1
285239584,1
145371196,1
237921311,1
145061880,2
179401765,2
706692400,1
179228678,1
199852590,1
211313000,4
157949241,2
736873200,2
345341700,2
157784011,1
179571513,2
179575033,2
863825900,1
244214645,1
450297099,1
255372600,2
155491683,2
211588665,1
163058424,1
204794897,1
854607100,2
917931100,1
211597435,1
201003829,2
145365674,1
199841869,1
499712200,2
516872099,4
480497500,1
258175169,1
597899100,3
158273934,1
211591277,2
147695155,2
460712700,2
703145100,2
201288499,1
258974300,1
258813776,1
225284800,3
136818019,1
157945715,1
246089900,2
199841852,2
763742500,2
375273300,2
202480007,2
794637500,2
291453900,4
158151174,1
211584250,2
598035300,2
647945500,2
393127600,3
143158753,1
156584047,1
157604162,4
734505200,1
158132054,3
157697562,1
158162043,1
913647900,1
248202175,1
817314099,2
807337899,2
156538571,2
177846127,1
158826219,1
794824700,1
145376884,1
250136856,1
921728300,2
158102588,2
137264723,1
238217243,1
367057700,1
157780678,4
158038684,3
172329741,1
199875406,1
752288800,1
209421187,2
